Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
132,Morehead St. (OVC),32,21-11,"2,247",70.2,"2,125",66.4,3.8
160,Morgan St. (MEAC),31,15-16,"2,323",74.9,"2,242",72.3,2.6
292,Mount St. Mary's (MAAC),33,13-20,"2,101",63.7,"2,212",67,-3.4
248,Murray St. (MVC),32,17-15,"2,254",70.4,"2,305",72,-1.6
283,N.C. A&T (CAA),32,13-19,"2,264",70.8,"2,362",73.8,-3.1
27,N.C. Central (MEAC),30,18-12,"2,268",75.6,"1,977",65.9,9.7
116,Navy (Patriot),31,18-13,"2,152",69.4,"2,013",64.9,4.5
57,NC State (ACC),33,23-10,"2,580",78.2,"2,336",70.8,7.4
255,Nebraska (Big Ten),32,16-16,"2,175",68,"2,236",69.9,-1.9
86,Nevada (Mountain West),32,22-10,"2,324",72.6,"2,140",66.9,5.8
226,New Hampshire (America East),30,15-15,"1,992",66.4,"2,011",67,-0.6
173,New Mexico St. (WAC),24,9-15,"1,769",73.7,"1,720",71.7,2
61,New Mexico (Mountain West),33,22-11,"2,680",81.2,"2,442",74,7.2
317,New Orleans (Southland),32,12-20,"2,340",73.1,"2,536",79.2,-6.1
235,Niagara (MAAC),31,16-15,"2,016",65,"2,044",65.9,-0.9
151,Nicholls (Southland),31,16-15,"2,344",75.6,"2,253",72.7,2.9
280,NIU (MAC),32,13-19,"2,304",72,"2,401",75,-3
312,NJIT (America East),30,7-23,"2,008",66.9,"2,182",72.7,-5.8
63,Norfolk St. (MEAC),33,22-11,"2,501",75.8,"2,264",68.6,7.2
202,North Ala. (ASUN),32,18-14,"2,396",74.9,"2,380",74.4,0.5
98,North Carolina (ACC),33,20-13,"2,514",76.2,"2,340",70.9,5.3
219,North Dakota St. (Summit League),33,16-17,"2,404",72.8,"2,414",73.2,-0.3
253,North Dakota (Summit League),33,13-20,"2,380",72.1,"2,438",73.9,-1.8
246,North Florida (ASUN),31,14-17,"2,363",76.2,"2,405",77.6,-1.4
40,North Texas (C-USA),33,26-7,"2,119",64.2,"1,839",55.7,8.5
321,Northeastern (CAA),30,10-20,"1,959",65.3,"2,150",71.7,-6.4
238,Northern Ariz. (Big Sky),35,12-23,"2,581",73.7,"2,615",74.7,-1
294,Northern Colo. (Big Sky),32,12-20,"2,355",73.6,"2,480",77.5,-3.9
112,Northern Ky. (Horizon),34,22-12,"2,320",68.2,"2,161",63.6,4.7
162,Northwestern St. (Southland),33,22-11,"2,463",74.6,"2,378",72.1,2.6
101,Northwestern (Big Ten),32,21-11,"2,165",67.7,"1,999",62.5,5.2
265,Notre Dame (ACC),32,11-21,"2,227",69.6,"2,307",72.1,-2.5
278,Oakland (Horizon),32,13-19,"2,347",73.3,"2,442",76.3,-3
138,Ohio St. (Big Ten),35,16-19,"2,538",72.5,"2,414",69,3.5
88,Ohio (MAC),33,19-14,"2,602",78.8,"2,413",73.1,5.7
166,Oklahoma St. (Big 12),33,18-15,"2,259",68.5,"2,181",66.1,2.4
210,Oklahoma (Big 12),32,15-17,"2,165",67.7,"2,161",67.5,0.1
199,Old Dominion (Sun Belt),31,19-12,"2,073",66.9,"2,052",66.2,0.7
247,Ole Miss (SEC),33,12-21,"2,227",67.5,"2,279",69.1,-1.6
329,Omaha (Summit League),32,9-23,"2,192",68.5,"2,438",76.2,-7.7
5,Oral Roberts (Summit League),34,30-4,"2,864",84.2,"2,384",70.1,14.1
311,Oregon St. (Pac-12),32,11-21,"1,959",61.2,"2,144",67,-5.8
136,Oregon (Pac-12),33,19-14,"2,332",70.7,"2,213",67.1,3.6
256,Pacific (WCC),33,15-18,"2,502",75.8,"2,565",77.7,-1.9
130,Penn St. (Big Ten),35,22-13,"2,531",72.3,"2,394",68.4,3.9
149,Penn (Ivy League),30,17-13,"2,249",75,"2,160",72,3
290,Pepperdine (WCC),31,9-22,"2,417",78,"2,520",81.3,-3.3
95,Pittsburgh (ACC),33,22-11,"2,512",76.1,"2,326",70.5,5.6
197,Portland St. (Big Sky),31,12-19,"2,363",76.2,"2,340",75.5,0.7
232,Portland (WCC),33,14-19,"2,566",77.8,"2,594",78.6,-0.8
233,Prairie View (SWAC),32,13-19,"2,168",67.8,"2,196",68.6,-0.9
320,Presbyterian (Big South),32,5-27,"2,021",63.2,"2,223",69.5,-6.3
56,Princeton (Ivy League),29,21-8,"2,204",76,"1,988",68.6,7.4
72,Providence (Big East),32,21-11,"2,499",78.1,"2,282",71.3,6.8
126,Purdue Fort Wayne (Horizon),32,17-15,"2,364",73.9,"2,234",69.8,4.1
24,Purdue (Big Ten),34,29-5,"2,485",73.1,"2,133",62.7,10.4
147,Quinnipiac (MAAC),32,20-12,"2,335",73,"2,231",69.7,3.2
109,Radford (Big South),33,19-14,"2,301",69.7,"2,142",64.9,4.8
303,Rhode Island (Atlantic 10),31,9-22,"2,046",66,"2,190",70.6,-4.6
207,Rice (C-USA),33,18-15,"2,530",76.7,"2,521",76.4,0.3
192,Richmond (Atlantic 10),33,15-18,"2,273",68.9,"2,237",67.8,1.1
161,Rider (MAAC),30,16-14,"2,105",70.2,"2,027",67.6,2.6
164,Robert Morris (Horizon),33,16-17,"2,287",69.3,"2,205",66.8,2.5
55,Rutgers (Big Ten),33,19-14,"2,240",67.9,"1,991",60.3,7.5
251,Sacramento St. (Big Sky),32,14-18,"2,114",66.1,"2,169",67.8,-1.7
224,Sacred Heart (NEC),33,16-17,"2,332",70.7,"2,351",71.2,-0.6
231,Saint Francis (PA) (NEC),31,13-18,"2,263",73,"2,286",73.7,-0.7
215,Saint Joseph's (Atlantic 10),33,16-17,"2,388",72.4,"2,389",72.4,0
118,Saint Louis (Atlantic 10),33,21-12,"2,493",75.5,"2,348",71.2,4.4
17,Saint Mary's (CA) (WCC),33,26-7,"2,355",71.4,"1,984",60.1,11.2
280,Saint Peter's (MAAC),32,14-18,"1,986",62.1,"2,083",65.1,-3
4,Sam Houston (WAC),32,25-7,"2,341",73.2,"1,884",58.9,14.3
64,Samford (SoCon),32,21-11,"2,519",78.7,"2,290",71.6,7.2
41,San Diego St. (Mountain West),33,27-6,"2,378",72.1,"2,099",63.6,8.5
291,San Diego (WCC),31,11-20,"2,391",77.1,"2,495",80.5,-3.4
156,San Francisco (WCC),34,20-14,"2,591",76.2,"2,496",73.4,2.8
195,San Jose St. (Mountain West),33,20-13,"2,228",67.5,"2,199",66.6,0.9
127,Santa Clara (WCC),32,23-9,"2,482",77.6,"2,355",73.6,4
150,Seattle U (WAC),32,20-12,"2,303",72,"2,209",69,2.9
141,Seton Hall (Big East),32,17-15,"2,192",68.5,"2,084",65.1,3.4
84,SFA (WAC),32,19-13,"2,427",75.8,"2,238",69.9,5.9
185,Siena (MAAC),32,17-15,"2,195",68.6,"2,151",67.2,1.4
142,SIUE (OVC),33,19-14,"2,463",74.6,"2,353",71.3,3.3
308,SMU (AAC),32,10-22,"2,248",70.2,"2,418",75.6,-5.3
87,South Alabama (Sun Belt),35,19-16,"2,483",70.9,"2,282",65.2,5.7
340,South Carolina St. (MEAC),31,5-26,"2,274",73.4,"2,599",83.8,-10.5
333,South Carolina (SEC),32,11-21,"2,059",64.3,"2,324",72.6,-8.3
190,South Dakota St. (Summit League),32,19-13,"2,270",70.9,"2,233",69.8,1.2
300,South Dakota (Summit League),31,12-19,"2,149",69.3,"2,282",73.6,-4.3
213,South Fla. (AAC),32,14-18,"2,303",72,"2,303",72,0
180,Southeast Mo. St. (OVC),35,19-16,"2,718",77.7,"2,659",76,1.7
181,Southeastern La. (Southland),32,18-14,"2,483",77.6,"2,432",76,1.6
96,Southern California (Pac-12),32,22-10,"2,327",72.8,"2,152",67.2,5.5
122,Southern Ill. (MVC),33,23-10,"2,168",65.7,"2,026",61.4,4.3
33,Southern Miss. (Sun Belt),32,25-7,"2,376",74.2,"2,094",65.4,8.8
201,Southern U. (SWAC),32,15-17,"2,300",71.9,"2,280",71.2,0.6
42,Southern Utah (WAC),34,22-12,"2,812",82.7,"2,529",74.4,8.3
236,St. Bonaventure (Atlantic 10),32,14-18,"2,136",66.8,"2,165",67.7,-0.9
277,St. Francis Brooklyn (NEC),30,14-16,"1,946",64.9,"2,034",67.8,-2.9
170,St. John's (NY) (Big East),33,18-15,"2,552",77.3,"2,481",75.2,2.2
175,Stanford (Pac-12),33,14-19,"2,321",70.3,"2,256",68.4,2
145,Stetson (ASUN),30,17-13,"2,298",76.6,"2,200",73.3,3.3
314,Stony Brook (CAA),33,11-22,"2,083",63.1,"2,279",69.1,-5.9
188,Syracuse (ACC),32,17-15,"2,372",74.1,"2,333",72.9,1.2
60,TCU (Big 12),33,21-12,"2,481",75.2,"2,241",67.9,7.3
225,Temple (AAC),32,16-16,"2,227",69.6,"2,247",70.2,-0.6
148,Tennessee St. (OVC),32,18-14,"2,499",78.1,"2,401",75,3.1
206,Tennessee Tech (OVC),33,16-17,"2,432",73.7,"2,421",73.4,0.3
7,Tennessee (SEC),33,23-10,"2,369",71.8,"1,915",58,13.8
68,Texas A&M (SEC),34,25-9,"2,490",73.2,"2,251",66.2,7
262,Texas Southern (SWAC),34,14-20,"2,361",69.4,"2,434",71.6,-2.1
230,Texas St. (Sun Belt),35,16-19,"2,309",66,"2,334",66.7,-0.7
120,Texas Tech (Big 12),32,16-16,"2,347",73.3,"2,208",69,4.3
23,Texas (Big 12),34,26-8,"2,647",77.9,"2,292",67.4,10.4
323,The Citadel (SoCon),32,10-22,"2,158",67.4,"2,374",74.2,-6.8
31,Toledo (MAC),34,27-7,"2,909",85.6,"2,601",76.5,9.1
106,Towson (CAA),33,21-12,"2,368",71.8,"2,202",66.7,5
79,Troy (Sun Belt),33,20-13,"2,414",73.2,"2,204",66.8,6.4
157,Tulane (AAC),31,20-11,"2,478",79.9,"2,392",77.2,2.8
347,Tulsa (AAC),30,5-25,"1,959",65.3,"2,323",77.4,-12.1
21,UAB (C-USA),34,25-9,"2,768",81.4,"2,408",70.8,10.6
330,UAlbany (America East),31,8-23,"2,086",67.3,"2,332",75.2,-7.9
133,UC Davis (Big West),32,18-14,"2,392",74.8,"2,274",71.1,3.7
37,UC Irvine (Big West),34,23-11,"2,559",75.3,"2,268",66.7,8.6
146,UC Riverside (Big West),34,22-12,"2,463",72.4,"2,352",69.2,3.3
75,UC Santa Barbara (Big West),34,27-7,"2,454",72.2,"2,231",65.6,6.6
82,UCF (AAC),32,18-14,"2,311",72.2,"2,111",66,6.2
9,UCLA (Pac-12),34,29-5,"2,513",73.9,"2,050",60.3,13.6
11,UConn (Big East),33,25-8,"2,589",78.5,"2,146",65,13.4
302,UIC (MVC),32,12-20,"2,149",67.2,"2,292",71.6,-4.5
284,UIW (Southland),31,12-19,"2,194",70.8,"2,290",73.9,-3.1
264,ULM (Sun Belt),32,11-21,"2,157",67.4,"2,235",69.8,-2.4
14,UMass Lowell (America East),34,26-8,"2,653",78,"2,243",66,12.1
182,UMBC (America East),32,18-14,"2,378",74.3,"2,328",72.8,1.6
140,UMES (MEAC),31,18-13,"2,162",69.7,"2,054",66.3,3.5
77,UNC Asheville (Big South),34,27-7,"2,551",75,"2,332",68.6,6.4
53,UNC Greensboro (SoCon),32,20-12,"2,306",72.1,"2,064",64.5,7.6
114,UNCW (CAA),34,24-10,"2,343",68.9,"2,187",64.3,4.6
209,UNI (MVC),32,14-18,"2,244",70.1,"2,238",69.9,0.2
123,UNLV (Mountain West),32,19-13,"2,376",74.2,"2,241",70,4.2
229,USC Upstate (Big South),31,16-15,"2,136",68.9,"2,158",69.6,-0.7
260,UT Arlington (WAC),32,11-21,"2,125",66.4,"2,190",68.4,-2
103,UT Martin (OVC),33,19-14,"2,658",80.5,"2,489",75.4,5.1
32,Utah St. (Mountain West),34,26-8,"2,671",78.6,"2,370",69.7,8.9
34,Utah Valley (WAC),33,25-8,"2,541",77,"2,251",68.2,8.8
110,Utah (Pac-12),32,17-15,"2,197",68.7,"2,043",63.8,4.8
213,UTEP (C-USA),32,14-18,"2,192",68.5,"2,192",68.5,0
202,UTRGV (WAC),32,15-17,"2,518",78.7,"2,502",78.2,0.5
327,UTSA (C-USA),32,10-22,"2,217",69.3,"2,450",76.6,-7.3
304,Valparaiso (MVC),32,11-21,"2,206",68.9,"2,355",73.6,-4.7
204,Vanderbilt (SEC),34,20-14,"2,465",72.5,"2,451",72.1,0.4
38,VCU (Atlantic 10),34,27-7,"2,429",71.4,"2,139",62.9,8.5
78,Vermont (America East),33,23-10,"2,410",73,"2,198",66.6,6.4
171,Villanova (Big East),33,17-16,"2,309",70,"2,239",67.8,2.1
117,Virginia Tech (ACC),33,19-14,"2,449",74.2,"2,302",69.8,4.5
53,Virginia (ACC),32,25-7,"2,170",67.8,"1,928",60.2,7.6
328,VMI (SoCon),32,7-25,"2,220",69.4,"2,457",76.8,-7.4
184,Wagner (NEC),28,15-13,"1,766",63.1,"1,727",61.7,1.4
155,Wake Forest (ACC),33,19-14,"2,528",76.6,"2,435",73.8,2.8
153,Washington St. (Pac-12),33,17-16,"2,250",68.2,"2,154",65.3,2.9
243,Washington (Pac-12),32,16-16,"2,213",69.2,"2,248",70.3,-1.1
219,Weber St. (Big Sky),33,18-15,"2,219",67.2,"2,229",67.5,-0.3
98,West Virginia (Big 12),33,19-14,"2,518",76.3,"2,344",71,5.3
137,Western Caro. (SoCon),33,18-15,"2,457",74.5,"2,340",70.9,3.5
200,Western Ill. (Summit League),30,16-14,"2,191",73,"2,171",72.4,0.7
196,Western Ky. (C-USA),33,17-16,"2,355",71.4,"2,330",70.6,0.8
297,Western Mich. (MAC),31,8-23,"2,166",69.9,"2,295",74,-4.2
163,Wichita St. (AAC),32,17-15,"2,272",71,"2,191",68.5,2.5
282,William & Mary (CAA),33,13-20,"2,219",67.2,"2,320",70.3,-3.1
228,Winthrop (Big South),32,15-17,"2,360",73.8,"2,382",74.4,-0.7
191,Wisconsin (Big Ten),31,17-14,"2,013",64.9,"1,978",63.8,1.1
169,Wofford (SoCon),33,17-16,"2,466",74.7,"2,392",72.5,2.2
83,Wright St. (Horizon),33,18-15,"2,637",79.9,"2,432",73.7,6.2
276,Wyoming (Mountain West),31,9-22,"2,144",69.2,"2,234",72.1,-2.9
58,Xavier (Big East),34,25-9,"2,768",81.4,"2,518",74.1,7.4
12,Yale (Ivy League),29,21-8,"2,211",76.2,"1,826",63,13.3
26,Youngstown St. (Horizon),33,24-9,"2,721",82.5,"2,396",72.6,9.8