Rank,Team,GM,W-L,Opp TO,TO,Ratio
44,A&M-Corpus Christi (Southland),33,23-10,509,428,2.5
5,Abilene Christian (WAC),30,13-17,530,379,5
278,Air Force (Mountain West),32,14-18,352,391,-1.2
110,Akron (MAC),33,22-11,407,370,1.1
160,Alabama A&M (SWAC),33,15-18,510,498,0.4
273,Alabama St. (SWAC),31,8-23,379,414,-1.1
323,Alabama (SEC),34,29-5,403,479,-2.2
59,Alcorn (SWAC),31,18-13,451,393,1.9
304,American (Patriot),32,17-15,390,448,-1.8
83,App State (Sun Belt),32,16-16,399,352,1.5
43,Arizona St. (Pac-12),34,22-12,489,402,2.6
264,Arizona (Pac-12),34,28-6,420,455,-1
129,Ark.-Pine Bluff (SWAC),31,10-21,497,473,0.8
201,Arkansas St. (Sun Belt),33,13-20,382,385,-0.1
89,Arkansas (SEC),33,20-13,473,426,1.4
318,Army West Point (Patriot),33,17-16,356,427,-2.2
128,Auburn (SEC),32,20-12,427,399,0.9
62,Austin Peay (ASUN),31,9-22,421,364,1.8
230,Ball St. (MAC),32,20-12,373,391,-0.6
106,Baylor (Big 12),32,22-10,432,394,1.2
96,Belmont (MVC),32,21-11,406,365,1.3
131,Bethune-Cookman (SWAC),32,12-20,437,413,0.8
325,Binghamton (America East),31,13-18,334,404,-2.3
135,Boise St. (Mountain West),33,24-9,394,370,0.7
191,Boston College (ACC),33,16-17,406,405,0
154,Boston U. (Patriot),32,15-17,397,384,0.4
238,Bowling Green (MAC),31,11-20,357,378,-0.7
104,Bradley (MVC),34,25-9,439,398,1.2
147,Brown (Ivy League),27,14-13,374,361,0.5
262,Bryant (America East),30,17-13,372,402,-1
338,Bucknell (Patriot),32,12-20,332,427,-3
207,Buffalo (MAC),32,15-17,447,452,-0.2
138,Butler (Big East),32,14-18,400,378,0.7
226,BYU (WCC),34,19-15,464,481,-0.5
289,Cal Poly (Big West),33,8-25,408,457,-1.5
49,Cal St. Fullerton (Big West),33,20-13,466,391,2.3
234,California Baptist (WAC),33,17-16,358,379,-0.6
332,California (Pac-12),32,3-29,332,417,-2.7
148,Campbell (Big South),34,16-18,420,404,0.5
98,Canisius (MAAC),30,10-20,395,357,1.3
255,Central Ark. (ASUN),31,9-22,385,413,-0.9
258,Central Conn. St. (NEC),32,10-22,350,380,-0.9
329,Central Mich. (MAC),31,10-21,415,494,-2.5
223,Charleston So. (Big South),31,10-21,350,365,-0.5
172,Charlotte (C-USA),32,18-14,353,346,0.2
268,Chattanooga (SoCon),35,18-17,369,407,-1.1
317,Chicago St. (DI Independent),31,11-20,357,422,-2.1
72,Cincinnati (AAC),33,21-12,405,351,1.6
178,Clemson (ACC),33,23-10,375,369,0.2
47,Cleveland St. (Horizon),34,21-13,475,396,2.3
238,Coastal Carolina (Sun Belt),31,11-20,358,379,-0.7
65,Col. of Charleston (CAA),34,31-3,468,408,1.8
51,Colgate (Patriot),34,26-8,419,346,2.1
120,Colorado St. (Mountain West),33,15-18,400,368,1
164,Colorado (Pac-12),33,17-16,451,441,0.3
244,Columbia (Ivy League),29,7-22,379,401,-0.8
274,Coppin St. (MEAC),32,9-23,440,477,-1.2
19,Cornell (Ivy League),28,17-11,446,348,3.5
296,Creighton (Big East),33,21-12,330,384,-1.6
140,CSU Bakersfield (Big West),33,11-22,445,424,0.6
228,CSUN (Big West),32,7-25,383,400,-0.5
316,Dartmouth (Ivy League),28,10-18,346,404,-2.1
131,Davidson (Atlantic 10),32,16-16,371,347,0.8
300,Dayton (Atlantic 10),34,22-12,352,411,-1.7
306,Delaware St. (MEAC),30,6-24,425,481,-1.9
89,Delaware (CAA),33,17-16,421,374,1.4
348,Denver (Summit League),32,15-17,359,479,-3.8
216,DePaul (Big East),33,10-23,415,427,-0.4
203,Detroit Mercy (Horizon),33,14-19,386,390,-0.1
71,Drake (MVC),34,27-7,412,356,1.6
161,Drexel (CAA),32,17-15,384,373,0.3
266,Duke (ACC),34,26-8,373,409,-1.1
40,Duquesne (Atlantic 10),32,20-12,464,381,2.6
280,East Carolina (AAC),33,16-17,392,435,-1.3
100,Eastern Ill. (OVC),31,9-22,457,419,1.2
49,Eastern Ky. (ASUN),33,20-13,476,401,2.3
142,Eastern Mich. (MAC),31,8-23,384,367,0.5
330,Eastern Wash. (Big Sky),32,22-10,353,435,-2.6
249,Elon (CAA),32,8-24,368,395,-0.8
259,ETSU (SoCon),32,12-20,389,420,-1
127,Evansville (MVC),32,5-27,421,392,0.9
205,Fairfield (MAAC),31,13-18,363,367,-0.1
13,FDU (NEC),34,19-15,530,391,4.1
159,FGCU (ASUN),32,17-15,377,365,0.4
67,FIU (C-USA),32,14-18,528,473,1.7
114,Fla. Atlantic (C-USA),34,31-3,436,400,1.1
345,Florida A&M (SWAC),29,7-22,363,464,-3.5
215,Florida St. (ACC),32,9-23,377,388,-0.3
96,Florida (SEC),32,16-16,394,353,1.3
190,Fordham (Atlantic 10),33,25-8,448,446,0.1
93,Fresno St. (Mountain West),31,11-20,401,359,1.4
51,Furman (SoCon),34,27-7,452,379,2.1
76,Ga. Southern (Sun Belt),33,17-16,429,378,1.5
109,Gardner-Webb (Big South),31,15-16,438,403,1.1
321,George Mason (Atlantic 10),33,20-13,380,453,-2.2
290,George Washington (Atlantic 10),32,16-16,355,403,-1.5
272,Georgetown (Big East),32,7-25,356,392,-1.1
255,Georgia St. (Sun Belt),31,10-21,372,400,-0.9
157,Georgia Tech (ACC),33,15-18,362,349,0.4
299,Georgia (SEC),32,16-16,368,423,-1.7
24,Gonzaga (WCC),33,28-5,459,349,3.3
167,Grambling (SWAC),33,24-9,484,475,0.3
283,Grand Canyon (WAC),35,24-11,375,423,-1.4
342,Green Bay (Horizon),32,3-29,342,447,-3.3
186,Hampton (CAA),32,8-24,357,354,0.1
322,Hartford (DI Independent),28,5-23,341,403,-2.2
251,Harvard (Ivy League),28,14-14,357,381,-0.9
285,Hawaii (Big West),33,22-11,355,401,-1.4
302,High Point (Big South),31,14-17,383,438,-1.8
53,Hofstra (CAA),33,24-9,417,349,2.1
176,Holy Cross (Patriot),32,10-22,393,387,0.2
331,Houston Christian (Southland),32,10-22,405,489,-2.6
10,Houston (AAC),34,31-3,485,338,4.3
246,Howard (MEAC),34,22-12,528,555,-0.8
143,Idaho St. (Big Sky),32,11-21,387,370,0.5
176,Idaho (Big Sky),32,10-22,368,362,0.2
344,Illinois St. (MVC),32,11-21,357,466,-3.4
165,Illinois (Big Ten),32,20-12,418,409,0.3
126,Indiana St. (MVC),34,22-12,432,401,0.9
220,Indiana (Big Ten),33,22-11,370,383,-0.4
14,Iona (MAAC),34,27-7,494,361,3.9
19,Iowa St. (Big 12),32,19-13,531,419,3.5
28,Iowa (Big Ten),32,19-13,417,317,3.1
350,IUPUI (Horizon),32,5-27,372,506,-4.2
313,Jackson St. (SWAC),33,14-19,448,514,-2
298,Jacksonville St. (ASUN),31,13-18,357,410,-1.7
311,Jacksonville (ASUN),29,13-16,277,333,-1.9
23,James Madison (Sun Belt),33,22-11,546,435,3.4
294,Kansas City (Summit League),32,11-21,380,432,-1.6
149,Kansas St. (Big 12),32,23-9,474,459,0.5
56,Kansas (Big 12),34,27-7,486,420,1.9
54,Kennesaw St. (ASUN),34,26-8,492,423,2
6,Kent St. (MAC),34,28-6,544,389,4.6
219,Kentucky (SEC),32,21-11,361,373,-0.4
206,La Salle (Atlantic 10),34,15-19,422,427,-0.1
175,Lafayette (Patriot),34,11-23,403,396,0.2
309,Lamar University (Southland),31,9-22,382,441,-1.9
193,Lehigh (Patriot),30,16-14,353,353,0
32,Liberty (ASUN),34,26-8,453,352,3
224,Lipscomb (ASUN),33,20-13,383,399,-0.5
134,Little Rock (OVC),31,10-21,441,418,0.7
346,LIU (NEC),29,3-26,371,475,-3.6
284,LMU (CA) (WCC),31,19-12,354,397,-1.4
201,Long Beach St. (Big West),33,17-16,463,466,-0.1
42,Longwood (Big South),32,20-12,462,380,2.6
76,Louisiana Tech (C-USA),33,15-18,502,451,1.5
167,Louisiana (Sun Belt),33,26-7,410,401,0.3
352,Louisville (ACC),32,4-28,325,478,-4.8
336,Loyola Chicago (Atlantic 10),31,10-21,376,464,-2.8
178,Loyola Maryland (Patriot),33,13-20,452,446,0.2
234,LSU (SEC),33,14-19,384,405,-0.6
75,Maine (America East),30,13-17,418,371,1.6
139,Manhattan (MAAC),30,12-18,426,406,0.7
248,Marist (MAAC),33,13-20,365,392,-0.8
3,Marquette (Big East),34,28-6,547,365,5.4
26,Marshall (Sun Belt),32,24-8,478,372,3.3
89,Maryland (Big Ten),33,21-12,394,347,1.4
242,Massachusetts (Atlantic 10),31,15-16,421,443,-0.7
297,McNeese (Southland),34,11-23,443,499,-1.6
60,Memphis (AAC),34,26-8,522,459,1.9
178,Mercer (SoCon),33,14-19,391,385,0.2
101,Miami (FL) (ACC),32,25-7,402,363,1.2
213,Miami (OH) (MAC),32,12-20,426,436,-0.3
275,Michigan St. (Big Ten),31,19-12,301,337,-1.2
193,Michigan (Big Ten),32,17-15,327,327,0
74,Middle Tenn. (C-USA),33,19-14,492,439,1.6
288,Milwaukee (Horizon),32,21-11,441,486,-1.4
341,Minnesota (Big Ten),31,9-22,302,401,-3.2
64,Mississippi St. (SEC),33,21-12,479,420,1.8
335,Mississippi Val. (SWAC),32,5-27,430,518,-2.8
222,Missouri St. (MVC),32,17-15,380,393,-0.4
1,Missouri (SEC),33,24-9,568,373,5.9
199,Monmouth (CAA),33,7-26,474,476,-0.1
56,Montana St. (Big Sky),34,25-9,465,399,1.9
252,Montana (Big Sky),31,17-14,320,347,-0.9
236,Morehead St. (OVC),32,21-11,368,389,-0.7
35,Morgan St. (MEAC),31,15-16,586,500,2.8
301,Mount St. Mary's (MAAC),33,13-20,392,450,-1.8
200,Murray St. (MVC),32,17-15,347,349,-0.1
169,N.C. A&T (CAA),32,13-19,393,385,0.2
86,N.C. Central (MEAC),30,18-12,503,459,1.5
81,Navy (Patriot),31,18-13,402,355,1.5
16,NC State (ACC),33,23-10,441,314,3.8
233,Nebraska (Big Ten),32,16-16,386,406,-0.6
45,Nevada (Mountain West),32,22-10,406,328,2.4
112,New Hampshire (America East),30,15-15,329,297,1.1
108,New Mexico St. (WAC),24,9-15,333,305,1.2
87,New Mexico (Mountain West),33,22-11,421,373,1.5
310,New Orleans (Southland),32,12-20,486,547,-1.9
257,Niagara (MAAC),31,16-15,336,365,-0.9
12,Nicholls (Southland),31,16-15,549,420,4.2
245,NIU (MAC),32,13-19,433,458,-0.8
265,NJIT (America East),30,7-23,303,334,-1
135,Norfolk St. (MEAC),33,22-11,458,434,0.7
182,North Ala. (ASUN),32,18-14,362,357,0.2
212,North Carolina (ACC),33,20-13,345,355,-0.3
328,North Dakota St. (Summit League),33,16-17,295,379,-2.5
229,North Dakota (Summit League),33,13-20,360,378,-0.5
313,North Florida (ASUN),31,14-17,316,378,-2
145,North Texas (C-USA),33,26-7,409,392,0.5
351,Northeastern (CAA),30,10-20,293,432,-4.6
95,Northern Ariz. (Big Sky),35,12-23,424,378,1.3
319,Northern Colo. (Big Sky),32,12-20,313,382,-2.2
11,Northern Ky. (Horizon),34,22-12,532,388,4.2
34,Northwestern St. (Southland),33,22-11,489,393,2.9
7,Northwestern (Big Ten),32,21-11,456,312,4.5
182,Notre Dame (ACC),32,11-21,286,281,0.2
31,Oakland (Horizon),32,13-19,438,339,3.1
209,Ohio St. (Big Ten),35,16-19,369,375,-0.2
103,Ohio (MAC),33,19-14,410,370,1.2
271,Oklahoma St. (Big 12),33,18-15,431,468,-1.1
339,Oklahoma (Big 12),32,15-17,332,428,-3
171,Old Dominion (Sun Belt),31,19-12,355,348,0.2
203,Ole Miss (SEC),33,12-21,398,402,-0.1
291,Omaha (Summit League),32,9-23,349,400,-1.6
21,Oral Roberts (Summit League),34,30-4,437,320,3.4
294,Oregon St. (Pac-12),32,11-21,377,429,-1.6
277,Oregon (Pac-12),33,19-14,361,401,-1.2
107,Pacific (WCC),33,15-18,428,389,1.2
218,Penn St. (Big Ten),35,22-13,302,315,-0.4
327,Penn (Ivy League),30,17-13,309,382,-2.4
307,Pepperdine (WCC),31,9-22,378,436,-1.9
173,Pittsburgh (ACC),33,22-11,376,369,0.2
15,Portland St. (Big Sky),31,12-19,495,375,3.9
227,Portland (WCC),33,14-19,403,420,-0.5
66,Prairie View (SWAC),32,13-19,494,438,1.8
267,Presbyterian (Big South),32,5-27,396,430,-1.1
312,Princeton (Ivy League),29,21-8,303,360,-2
197,Providence (Big East),32,21-11,376,377,0
211,Purdue Fort Wayne (Horizon),32,17-15,414,421,-0.2
260,Purdue (Big Ten),34,29-5,339,372,-1
249,Quinnipiac (MAAC),32,20-12,377,404,-0.8
72,Radford (Big South),33,19-14,446,392,1.6
320,Rhode Island (Atlantic 10),31,9-22,370,437,-2.2
281,Rice (C-USA),33,18-15,390,434,-1.3
191,Richmond (Atlantic 10),33,15-18,381,380,0
217,Rider (MAAC),30,16-14,334,345,-0.4
187,Robert Morris (Horizon),33,16-17,435,432,0.1
33,Rutgers (Big Ten),33,19-14,476,378,3
349,Sacramento St. (Big Sky),32,14-18,302,427,-3.9
130,Sacred Heart (NEC),33,16-17,463,438,0.8
313,Saint Francis (PA) (NEC),31,13-18,329,391,-2
146,Saint Joseph's (Atlantic 10),33,16-17,437,421,0.5
285,Saint Louis (Atlantic 10),33,21-12,353,399,-1.4
69,Saint Mary's (CA) (WCC),33,26-7,408,352,1.7
165,Saint Peter's (MAAC),32,14-18,402,393,0.3
18,Sam Houston (WAC),32,25-7,536,423,3.5
55,Samford (SoCon),32,21-11,468,405,2
87,San Diego St. (Mountain West),33,27-6,437,389,1.5
92,San Diego (WCC),31,11-20,399,355,1.4
270,San Francisco (WCC),34,20-14,431,469,-1.1
347,San Jose St. (Mountain West),33,20-13,276,395,-3.6
231,Santa Clara (WCC),32,23-9,378,397,-0.6
99,Seattle U (WAC),32,20-12,422,382,1.2
143,Seton Hall (Big East),32,17-15,465,448,0.5
38,SFA (WAC),32,19-13,578,493,2.7
240,Siena (MAAC),32,17-15,398,420,-0.7
124,SIUE (OVC),33,19-14,452,421,0.9
149,SMU (AAC),32,10-22,428,413,0.5
105,South Alabama (Sun Belt),35,19-16,384,342,1.2
198,South Carolina St. (MEAC),31,5-26,485,486,0
332,South Carolina (SEC),32,11-21,336,421,-2.7
163,South Dakota St. (Summit League),32,19-13,381,371,0.3
302,South Dakota (Summit League),31,12-19,305,360,-1.8
231,South Fla. (AAC),32,14-18,418,437,-0.6
78,Southeast Mo. St. (OVC),35,19-16,513,459,1.5
46,Southeastern La. (Southland),32,18-14,465,390,2.3
193,Southern California (Pac-12),32,22-10,399,399,0
153,Southern Ill. (MVC),33,23-10,428,414,0.4
40,Southern Miss. (Sun Belt),32,25-7,462,379,2.6
39,Southern U. (SWAC),32,15-17,552,468,2.6
80,Southern Utah (WAC),34,22-12,499,447,1.5
154,St. Bonaventure (Atlantic 10),32,14-18,418,405,0.4
208,St. Francis Brooklyn (NEC),30,14-16,409,414,-0.2
135,St. John's (NY) (Big East),33,18-15,486,462,0.7
220,Stanford (Pac-12),33,14-19,400,413,-0.4
210,Stetson (ASUN),30,17-13,308,314,-0.2
343,Stony Brook (CAA),33,11-22,303,413,-3.3
101,Syracuse (ACC),32,17-15,412,373,1.2
22,TCU (Big 12),33,21-12,515,402,3.4
326,Temple (AAC),32,16-16,360,434,-2.3
116,Tennessee St. (OVC),32,18-14,436,403,1
140,Tennessee Tech (OVC),33,16-17,437,416,0.6
36,Tennessee (SEC),33,23-10,487,398,2.7
63,Texas A&M (SEC),34,25-9,482,420,1.8
254,Texas Southern (SWAC),34,14-20,467,497,-0.9
151,Texas St. (Sun Belt),35,16-19,427,411,0.5
188,Texas Tech (Big 12),32,16-16,443,441,0.1
7,Texas (Big 12),34,26-8,551,398,4.5
262,The Citadel (SoCon),32,10-22,361,393,-1
29,Toledo (MAC),34,27-7,438,332,3.1
224,Towson (CAA),33,21-12,388,404,-0.5
36,Troy (Sun Belt),33,20-13,513,424,2.7
27,Tulane (AAC),31,20-11,450,351,3.2
287,Tulsa (AAC),30,5-25,355,397,-1.4
68,UAB (C-USA),34,25-9,487,429,1.7
293,UAlbany (America East),31,8-23,364,414,-1.6
188,UC Davis (Big West),32,18-14,473,471,0.1
158,UC Irvine (Big West),34,23-11,433,420,0.4
214,UC Riverside (Big West),34,22-12,406,417,-0.3
111,UC Santa Barbara (Big West),34,27-7,421,383,1.1
83,UCF (AAC),32,18-14,468,421,1.5
2,UCLA (Pac-12),34,29-5,540,349,5.6
162,UConn (Big East),33,25-8,438,427,0.3
116,UIC (MVC),32,12-20,443,410,1
125,UIW (Southland),31,12-19,455,426,0.9
193,ULM (Sun Belt),32,11-21,405,405,0
184,UMass Lowell (America East),34,26-8,471,466,0.1
83,UMBC (America East),32,18-14,370,323,1.5
9,UMES (MEAC),31,18-13,589,454,4.4
279,UNC Asheville (Big South),34,27-7,438,480,-1.2
79,UNC Greensboro (SoCon),32,20-12,425,376,1.5
58,UNCW (CAA),34,24-10,473,408,1.9
131,UNI (MVC),32,14-18,409,385,0.8
4,UNLV (Mountain West),32,19-13,562,394,5.2
118,USC Upstate (Big South),31,16-15,445,414,1
154,UT Arlington (WAC),32,11-21,456,443,0.4
120,UT Martin (OVC),33,19-14,426,394,1
260,Utah St. (Mountain West),34,26-8,378,411,-1
276,Utah Valley (WAC),33,25-8,418,457,-1.2
308,Utah (Pac-12),32,17-15,325,385,-1.9
123,UTEP (C-USA),32,14-18,536,505,1
340,UTRGV (WAC),32,15-17,414,514,-3.1
332,UTSA (C-USA),32,10-22,354,439,-2.7
291,Valparaiso (MVC),32,11-21,355,406,-1.6
237,Vanderbilt (SEC),34,20-14,345,368,-0.7
29,VCU (Atlantic 10),34,27-7,560,454,3.1
48,Vermont (America East),33,23-10,384,308,2.3
113,Villanova (Big East),33,17-16,370,335,1.1
118,Virginia Tech (ACC),33,19-14,361,328,1
17,Virginia (ACC),32,25-7,394,274,3.8
324,VMI (SoCon),32,7-25,339,411,-2.2
82,Wagner (NEC),28,15-13,377,335,1.5
185,Wake Forest (ACC),33,19-14,403,399,0.1
281,Washington St. (Pac-12),33,17-16,353,397,-1.3
269,Washington (Pac-12),32,16-16,413,448,-1.1
173,Weber St. (Big Sky),33,18-15,429,422,0.2
70,West Virginia (Big 12),33,19-14,483,428,1.7
178,Western Caro. (SoCon),33,18-15,361,355,0.2
115,Western Ill. (Summit League),30,16-14,353,322,1
120,Western Ky. (C-USA),33,17-16,415,383,1
337,Western Mich. (MAC),31,8-23,305,395,-2.9
253,Wichita St. (AAC),32,17-15,373,401,-0.9
243,William & Mary (CAA),33,13-20,373,398,-0.8
305,Winthrop (Big South),32,15-17,388,447,-1.8
25,Wisconsin (Big Ten),31,17-14,373,270,3.3
170,Wofford (SoCon),33,17-16,369,361,0.2
152,Wright St. (Horizon),33,18-15,434,419,0.5
247,Wyoming (Mountain West),31,9-22,346,371,-0.8
241,Xavier (Big East),34,25-9,405,429,-0.7
94,Yale (Ivy League),29,21-8,363,324,1.3
61,Youngstown St. (Horizon),33,24-9,429,368,1.8