Rank,Team,GM,W-L,3FG,3FGA,3FG%
48,A&M-Corpus Christi (Southland),33,23-10,257,698,36.8
165,Abilene Christian (WAC),30,13-17,211,613,34.4
98,Air Force (Mountain West),32,14-18,261,733,35.6
105,Akron (MAC),33,22-11,300,845,35.5
38,Alabama A&M (SWAC),33,15-18,226,610,37
332,Alabama St. (SWAC),31,8-23,185,605,30.6
200,Alabama (SEC),34,29-5,342,"1,012",33.8
343,Alcorn (SWAC),31,18-13,159,538,29.6
152,American (Patriot),32,17-15,204,589,34.6
213,App State (Sun Belt),32,16-16,243,726,33.5
312,Arizona St. (Pac-12),34,22-12,255,813,31.4
17,Arizona (Pac-12),34,28-6,292,765,38.2
308,Ark.-Pine Bluff (SWAC),31,10-21,245,776,31.6
118,Arkansas St. (Sun Belt),33,13-20,209,593,35.2
301,Arkansas (SEC),33,20-13,168,530,31.7
126,Army West Point (Patriot),33,17-16,252,718,35.1
311,Auburn (SEC),32,20-12,208,663,31.4
280,Austin Peay (ASUN),31,9-22,222,690,32.2
46,Ball St. (MAC),32,20-12,240,651,36.9
35,Baylor (Big 12),32,22-10,310,834,37.2
10,Belmont (MVC),32,21-11,307,791,38.8
75,Bethune-Cookman (SWAC),32,12-20,219,606,36.1
275,Binghamton (America East),31,13-18,172,533,32.3
61,Boise St. (Mountain West),33,24-9,259,710,36.5
292,Boston College (ACC),33,16-17,188,590,31.9
241,Boston U. (Patriot),32,15-17,238,722,33
177,Bowling Green (MAC),31,11-20,224,658,34
87,Bradley (MVC),34,25-9,271,754,35.9
148,Brown (Ivy League),27,14-13,216,622,34.7
178,Bryant (America East),30,17-13,243,714,34
99,Bucknell (Patriot),32,12-20,235,660,35.6
279,Buffalo (MAC),32,15-17,224,696,32.2
257,Butler (Big East),32,14-18,207,633,32.7
184,BYU (WCC),34,19-15,276,812,34
345,Cal Poly (Big West),33,8-25,181,615,29.4
45,Cal St. Fullerton (Big West),33,20-13,253,686,36.9
240,California Baptist (WAC),33,17-16,276,837,33
339,California (Pac-12),32,3-29,156,524,29.8
220,Campbell (Big South),34,16-18,228,683,33.4
146,Canisius (MAAC),30,10-20,255,734,34.7
274,Central Ark. (ASUN),31,9-22,264,818,32.3
255,Central Conn. St. (NEC),32,10-22,219,669,32.7
338,Central Mich. (MAC),31,10-21,191,637,30
168,Charleston So. (Big South),31,10-21,251,731,34.3
25,Charlotte (C-USA),32,18-14,256,680,37.6
24,Chattanooga (SoCon),35,18-17,398,"1,057",37.7
188,Chicago St. (DI Independent),31,11-20,256,755,33.9
97,Cincinnati (AAC),33,21-12,298,836,35.6
41,Clemson (ACC),33,23-10,276,747,36.9
323,Cleveland St. (Horizon),34,21-13,174,562,31
303,Coastal Carolina (Sun Belt),31,11-20,223,705,31.6
219,Col. of Charleston (CAA),34,31-3,343,"1,027",33.4
1,Colgate (Patriot),34,26-8,283,694,40.8
63,Colorado St. (Mountain West),33,15-18,251,689,36.4
293,Colorado (Pac-12),33,17-16,215,675,31.9
302,Columbia (Ivy League),29,7-22,226,714,31.7
202,Coppin St. (MEAC),32,9-23,268,794,33.8
116,Cornell (Ivy League),28,17-11,300,851,35.3
83,Creighton (Big East),33,21-12,294,817,36
270,CSU Bakersfield (Big West),33,11-22,142,437,32.5
288,CSUN (Big West),32,7-25,184,575,32
222,Dartmouth (Ivy League),28,10-18,228,685,33.3
268,Davidson (Atlantic 10),32,16-16,216,664,32.5
194,Dayton (Atlantic 10),34,22-12,225,665,33.8
309,Delaware St. (MEAC),30,6-24,171,542,31.5
285,Delaware (CAA),33,17-16,218,680,32.1
262,Denver (Summit League),32,15-17,144,442,32.6
49,DePaul (Big East),33,10-23,273,742,36.8
12,Detroit Mercy (Horizon),33,14-19,338,875,38.6
31,Drake (MVC),34,27-7,271,727,37.3
306,Drexel (CAA),32,17-15,229,725,31.6
207,Duke (ACC),34,26-8,233,693,33.6
62,Duquesne (Atlantic 10),32,20-12,288,790,36.5
305,East Carolina (AAC),33,16-17,249,788,31.6
248,Eastern Ill. (OVC),31,9-22,162,493,32.9
203,Eastern Ky. (ASUN),33,20-13,283,839,33.7
307,Eastern Mich. (MAC),31,8-23,192,608,31.6
80,Eastern Wash. (Big Sky),32,22-10,282,783,36
336,Elon (CAA),32,8-24,218,722,30.2
283,ETSU (SoCon),32,12-20,203,633,32.1
277,Evansville (MVC),32,5-27,199,618,32.2
349,Fairfield (MAAC),31,13-18,178,621,28.7
153,FDU (NEC),34,19-15,275,795,34.6
106,FGCU (ASUN),32,17-15,295,832,35.5
259,FIU (C-USA),32,14-18,219,671,32.6
34,Fla. Atlantic (C-USA),34,31-3,332,893,37.2
314,Florida A&M (SWAC),29,7-22,167,533,31.3
237,Florida St. (ACC),32,9-23,209,633,33
290,Florida (SEC),32,16-16,216,677,31.9
295,Fordham (Atlantic 10),33,25-8,252,792,31.8
328,Fresno St. (Mountain West),31,11-20,210,681,30.8
150,Furman (SoCon),34,27-7,324,934,34.7
310,Ga. Southern (Sun Belt),33,17-16,207,659,31.4
208,Gardner-Webb (Big South),31,15-16,196,583,33.6
129,George Mason (Atlantic 10),33,20-13,240,685,35
282,George Washington (Atlantic 10),32,16-16,228,710,32.1
326,Georgetown (Big East),32,7-25,185,599,30.9
344,Georgia St. (Sun Belt),31,10-21,164,556,29.5
211,Georgia Tech (ACC),33,15-18,259,773,33.5
300,Georgia (SEC),32,16-16,215,678,31.7
11,Gonzaga (WCC),33,28-5,256,661,38.7
102,Grambling (SWAC),33,24-9,174,489,35.6
16,Grand Canyon (WAC),35,24-11,314,819,38.3
337,Green Bay (Horizon),32,3-29,218,724,30.1
281,Hampton (CAA),32,8-24,228,709,32.2
227,Hartford (DI Independent),28,5-23,206,620,33.2
327,Harvard (Ivy League),28,14-14,184,596,30.9
239,Hawaii (Big West),33,22-11,220,667,33
269,High Point (Big South),31,14-17,234,720,32.5
54,Hofstra (CAA),33,24-9,286,779,36.7
58,Holy Cross (Patriot),32,10-22,219,599,36.6
59,Houston Christian (Southland),32,10-22,265,726,36.5
163,Houston (AAC),34,31-3,264,766,34.5
23,Howard (MEAC),34,22-12,272,722,37.7
201,Idaho St. (Big Sky),32,11-21,245,725,33.8
181,Idaho (Big Sky),32,10-22,217,638,34
206,Illinois St. (MVC),32,11-21,232,690,33.6
325,Illinois (Big Ten),32,20-12,245,793,30.9
107,Indiana St. (MVC),34,22-12,322,910,35.4
39,Indiana (Big Ten),33,22-11,187,505,37
84,Iona (MAAC),34,27-7,240,667,36
187,Iowa St. (Big 12),32,19-13,209,616,33.9
169,Iowa (Big Ten),32,19-13,258,752,34.3
340,IUPUI (Horizon),32,5-27,146,492,29.7
294,Jackson St. (SWAC),33,14-19,207,650,31.8
26,Jacksonville St. (ASUN),31,13-18,281,747,37.6
180,Jacksonville (ASUN),29,13-16,200,588,34
131,James Madison (Sun Belt),33,22-11,263,751,35
351,Kansas City (Summit League),32,11-21,188,665,28.3
179,Kansas St. (Big 12),32,23-9,228,670,34
166,Kansas (Big 12),34,27-7,237,689,34.4
51,Kennesaw St. (ASUN),34,26-8,281,764,36.8
205,Kent St. (MAC),34,28-6,268,797,33.6
110,Kentucky (SEC),32,21-11,204,577,35.4
173,La Salle (Atlantic 10),34,15-19,248,726,34.2
256,Lafayette (Patriot),34,11-23,298,911,32.7
287,Lamar University (Southland),31,9-22,178,556,32
125,Lehigh (Patriot),30,16-14,205,584,35.1
27,Liberty (ASUN),34,26-8,358,954,37.5
103,Lipscomb (ASUN),33,20-13,266,748,35.6
261,Little Rock (OVC),31,10-21,185,567,32.6
197,LIU (NEC),29,3-26,142,420,33.8
60,LMU (CA) (WCC),31,19-12,289,792,36.5
342,Long Beach St. (Big West),33,17-16,146,494,29.6
120,Longwood (Big South),32,20-12,241,685,35.2
159,Louisiana Tech (C-USA),33,15-18,281,814,34.5
22,Louisiana (Sun Belt),33,26-7,233,617,37.8
245,Louisville (ACC),32,4-28,200,608,32.9
215,Loyola Chicago (Atlantic 10),31,10-21,220,658,33.4
95,Loyola Maryland (Patriot),33,13-20,250,701,35.7
254,LSU (SEC),33,14-19,239,730,32.7
224,Maine (America East),30,13-17,198,595,33.3
223,Manhattan (MAAC),30,12-18,205,616,33.3
249,Marist (MAAC),33,13-20,253,771,32.8
144,Marquette (Big East),34,28-6,301,865,34.8
198,Marshall (Sun Belt),32,24-8,264,781,33.8
233,Maryland (Big Ten),33,21-12,226,684,33
251,Massachusetts (Atlantic 10),31,15-16,182,555,32.8
267,McNeese (Southland),34,11-23,258,793,32.5
100,Memphis (AAC),34,26-8,209,587,35.6
214,Mercer (SoCon),33,14-19,196,586,33.4
53,Miami (FL) (ACC),32,25-7,243,661,36.8
186,Miami (OH) (MAC),32,12-20,250,736,34
4,Michigan St. (Big Ten),31,19-12,232,587,39.5
155,Michigan (Big Ten),32,17-15,245,709,34.6
195,Middle Tenn. (C-USA),33,19-14,228,674,33.8
119,Milwaukee (Horizon),32,21-11,256,727,35.2
271,Minnesota (Big Ten),31,9-22,192,591,32.5
352,Mississippi St. (SEC),33,21-12,172,646,26.6
136,Mississippi Val. (SWAC),32,5-27,162,464,34.9
229,Missouri St. (MVC),32,17-15,254,767,33.1
79,Missouri (SEC),33,24-9,309,857,36.1
348,Monmouth (CAA),33,7-26,134,466,28.8
196,Montana St. (Big Sky),34,25-9,210,621,33.8
33,Montana (Big Sky),31,17-14,244,656,37.2
104,Morehead St. (OVC),32,21-11,236,664,35.5
47,Morgan St. (MEAC),31,15-16,206,559,36.9
109,Mount St. Mary's (MAAC),33,13-20,220,622,35.4
228,Murray St. (MVC),32,17-15,197,593,33.2
225,N.C. A&T (CAA),32,13-19,261,785,33.2
81,N.C. Central (MEAC),30,18-12,221,614,36
37,Navy (Patriot),31,18-13,240,647,37.1
135,NC State (ACC),33,23-10,278,796,34.9
264,Nebraska (Big Ten),32,16-16,214,657,32.6
156,Nevada (Mountain West),32,22-10,227,657,34.6
170,New Hampshire (America East),30,15-15,248,725,34.2
189,New Mexico St. (WAC),24,9-15,181,534,33.9
101,New Mexico (Mountain West),33,22-11,189,531,35.6
21,New Orleans (Southland),32,12-20,196,519,37.8
167,Niagara (MAAC),31,16-15,196,570,34.4
174,Nicholls (Southland),31,16-15,238,698,34.1
143,NIU (MAC),32,13-19,236,678,34.8
139,NJIT (America East),30,7-23,196,562,34.9
193,Norfolk St. (MEAC),33,22-11,225,664,33.9
32,North Ala. (ASUN),32,18-14,245,658,37.2
318,North Carolina (ACC),33,20-13,234,751,31.2
209,North Dakota St. (Summit League),33,16-17,247,735,33.6
130,North Dakota (Summit League),33,13-20,304,868,35
56,North Florida (ASUN),31,14-17,323,881,36.7
128,North Texas (C-USA),33,26-7,238,679,35.1
226,Northeastern (CAA),30,10-20,211,635,33.2
72,Northern Ariz. (Big Sky),35,12-23,295,815,36.2
91,Northern Colo. (Big Sky),32,12-20,265,741,35.8
132,Northern Ky. (Horizon),34,22-12,278,794,35
77,Northwestern St. (Southland),33,22-11,278,770,36.1
284,Northwestern (Big Ten),32,21-11,245,764,32.1
89,Notre Dame (ACC),32,11-21,282,787,35.8
329,Oakland (Horizon),32,13-19,232,753,30.8
52,Ohio St. (Big Ten),35,16-19,239,650,36.8
30,Ohio (MAC),33,19-14,295,791,37.3
319,Oklahoma St. (Big 12),33,18-15,228,732,31.1
124,Oklahoma (Big 12),32,15-17,224,638,35.1
313,Old Dominion (Sun Belt),31,19-12,164,523,31.4
335,Ole Miss (SEC),33,12-21,203,671,30.3
192,Omaha (Summit League),32,9-23,183,540,33.9
44,Oral Roberts (Summit League),34,30-4,367,995,36.9
299,Oregon St. (Pac-12),32,11-21,192,605,31.7
291,Oregon (Pac-12),33,19-14,233,731,31.9
6,Pacific (WCC),33,15-18,297,761,39
13,Penn St. (Big Ten),35,22-13,364,945,38.5
82,Penn (Ivy League),30,17-13,244,678,36
73,Pepperdine (WCC),31,9-22,253,699,36.2
85,Pittsburgh (ACC),33,22-11,304,845,36
182,Portland St. (Big Sky),31,12-19,234,688,34
28,Portland (WCC),33,14-19,317,845,37.5
334,Prairie View (SWAC),32,13-19,191,631,30.3
322,Presbyterian (Big South),32,5-27,191,616,31
164,Princeton (Ivy League),29,21-8,247,717,34.4
121,Providence (Big East),32,21-11,213,606,35.1
154,Purdue Fort Wayne (Horizon),32,17-15,308,891,34.6
260,Purdue (Big Ten),34,29-5,234,717,32.6
68,Quinnipiac (MAAC),32,20-12,263,725,36.3
78,Radford (Big South),33,19-14,220,610,36.1
333,Rhode Island (Atlantic 10),31,9-22,168,553,30.4
93,Rice (C-USA),33,18-15,296,829,35.7
234,Richmond (Atlantic 10),33,15-18,261,790,33
218,Rider (MAAC),30,16-14,150,449,33.4
216,Robert Morris (Horizon),33,16-17,235,703,33.4
297,Rutgers (Big Ten),33,19-14,187,588,31.8
162,Sacramento St. (Big Sky),32,14-18,217,629,34.5
315,Sacred Heart (NEC),33,16-17,229,731,31.3
20,Saint Francis (PA) (NEC),31,13-18,240,633,37.9
246,Saint Joseph's (Atlantic 10),33,16-17,290,882,32.9
96,Saint Louis (Atlantic 10),33,21-12,230,645,35.7
36,Saint Mary's (CA) (WCC),33,26-7,256,689,37.2
347,Saint Peter's (MAAC),32,14-18,190,648,29.3
14,Sam Houston (WAC),32,25-7,265,689,38.5
115,Samford (SoCon),32,21-11,290,822,35.3
113,San Diego St. (Mountain West),33,27-6,237,671,35.3
114,San Diego (WCC),31,11-20,244,691,35.3
76,San Francisco (WCC),34,20-14,349,966,36.1
265,San Jose St. (Mountain West),33,20-13,251,771,32.6
40,Santa Clara (WCC),32,23-9,268,725,37
304,Seattle U (WAC),32,20-12,275,870,31.6
250,Seton Hall (Big East),32,17-15,186,567,32.8
18,SFA (WAC),32,19-13,203,532,38.2
140,Siena (MAAC),32,17-15,213,611,34.9
247,SIUE (OVC),33,19-14,236,718,32.9
320,SMU (AAC),32,10-22,201,646,31.1
157,South Alabama (Sun Belt),35,19-16,266,770,34.5
298,South Carolina St. (MEAC),31,5-26,213,671,31.7
273,South Carolina (SEC),32,11-21,244,755,32.3
122,South Dakota St. (Summit League),32,19-13,246,700,35.1
8,South Dakota (Summit League),31,12-19,275,706,39
210,South Fla. (AAC),32,14-18,236,703,33.6
253,Southeast Mo. St. (OVC),35,19-16,278,849,32.7
43,Southeastern La. (Southland),32,18-14,248,672,36.9
160,Southern California (Pac-12),32,22-10,207,600,34.5
263,Southern Ill. (MVC),33,23-10,259,795,32.6
266,Southern Miss. (Sun Belt),32,25-7,222,682,32.6
230,Southern U. (SWAC),32,15-17,244,737,33.1
151,Southern Utah (WAC),34,22-12,277,799,34.7
145,St. Bonaventure (Atlantic 10),32,14-18,226,650,34.8
110,St. Francis Brooklyn (NEC),30,14-16,204,577,35.4
231,St. John's (NY) (Big East),33,18-15,193,583,33.1
67,Stanford (Pac-12),33,14-19,267,736,36.3
9,Stetson (ASUN),30,17-13,303,778,38.9
276,Stony Brook (CAA),33,11-22,256,794,32.2
71,Syracuse (ACC),32,17-15,198,547,36.2
331,TCU (Big 12),33,21-12,180,588,30.6
238,Temple (AAC),32,16-16,255,773,33
134,Tennessee St. (OVC),32,18-14,281,804,35
64,Tennessee Tech (OVC),33,16-17,302,829,36.4
242,Tennessee (SEC),33,23-10,257,780,32.9
252,Texas A&M (SEC),34,25-9,207,632,32.8
350,Texas Southern (SWAC),34,14-20,162,571,28.4
330,Texas St. (Sun Belt),35,16-19,154,501,30.7
158,Texas Tech (Big 12),32,16-16,230,666,34.5
191,Texas (Big 12),34,26-8,243,717,33.9
272,The Citadel (SoCon),32,10-22,228,702,32.5
2,Toledo (MAC),34,27-7,294,740,39.7
57,Towson (CAA),33,21-12,243,663,36.7
289,Troy (Sun Belt),33,20-13,255,798,32
199,Tulane (AAC),31,20-11,241,713,33.8
316,Tulsa (AAC),30,5-25,230,735,31.3
66,UAB (C-USA),34,25-9,250,689,36.3
258,UAlbany (America East),31,8-23,237,725,32.7
185,UC Davis (Big West),32,18-14,214,630,34
15,UC Irvine (Big West),34,23-11,243,633,38.4
70,UC Riverside (Big West),34,22-12,284,784,36.2
117,UC Santa Barbara (Big West),34,27-7,190,539,35.3
86,UCF (AAC),32,18-14,284,790,35.9
149,UCLA (Pac-12),34,29-5,209,602,34.7
94,UConn (Big East),33,25-8,297,832,35.7
243,UIC (MVC),32,12-20,255,774,32.9
142,UIW (Southland),31,12-19,194,557,34.8
127,ULM (Sun Belt),32,11-21,242,690,35.1
19,UMass Lowell (America East),34,26-8,236,619,38.1
175,UMBC (America East),32,18-14,257,754,34.1
296,UMES (MEAC),31,18-13,229,720,31.8
7,UNC Asheville (Big South),34,27-7,268,687,39
108,UNC Greensboro (SoCon),32,20-12,254,718,35.4
212,UNCW (CAA),34,24-10,209,624,33.5
176,UNI (MVC),32,14-18,238,699,34
138,UNLV (Mountain West),32,19-13,262,751,34.9
172,USC Upstate (Big South),31,16-15,204,597,34.2
278,UT Arlington (WAC),32,11-21,207,643,32.2
232,UT Martin (OVC),33,19-14,255,771,33.1
5,Utah St. (Mountain West),34,26-8,321,816,39.3
244,Utah Valley (WAC),33,25-8,216,656,32.9
221,Utah (Pac-12),32,17-15,232,696,33.3
346,UTEP (C-USA),32,14-18,158,537,29.4
190,UTRGV (WAC),32,15-17,222,655,33.9
216,UTSA (C-USA),32,10-22,235,703,33.4
341,Valparaiso (MVC),32,11-21,198,668,29.6
171,Vanderbilt (SEC),34,20-14,289,845,34.2
147,VCU (Atlantic 10),34,27-7,207,596,34.7
88,Vermont (America East),33,23-10,284,791,35.9
183,Villanova (Big East),33,17-16,292,859,34
74,Virginia Tech (ACC),33,19-14,275,760,36.2
112,Virginia (ACC),32,25-7,218,617,35.3
123,VMI (SoCon),32,7-25,309,880,35.1
321,Wagner (NEC),28,15-13,181,583,31
65,Wake Forest (ACC),33,19-14,315,866,36.4
42,Washington St. (Pac-12),33,17-16,296,802,36.9
317,Washington (Pac-12),32,16-16,209,668,31.3
204,Weber St. (Big Sky),33,18-15,218,647,33.7
141,West Virginia (Big 12),33,19-14,240,689,34.8
161,Western Caro. (SoCon),33,18-15,286,829,34.5
286,Western Ill. (Summit League),30,16-14,209,652,32.1
90,Western Ky. (C-USA),33,17-16,249,695,35.8
235,Western Mich. (MAC),31,8-23,250,757,33
324,Wichita St. (AAC),32,17-15,212,685,30.9
55,William & Mary (CAA),33,13-20,256,698,36.7
29,Winthrop (Big South),32,15-17,283,757,37.4
133,Wisconsin (Big Ten),31,17-14,252,720,35
236,Wofford (SoCon),33,17-16,247,748,33
92,Wright St. (Horizon),33,18-15,205,574,35.7
137,Wyoming (Mountain West),31,9-22,268,768,34.9
3,Xavier (Big East),34,25-9,257,650,39.5
69,Yale (Ivy League),29,21-8,217,599,36.2
50,Youngstown St. (Horizon),33,24-9,263,715,36.8