Rank,Team,GM,W-L,3FG,3PG
124,A&M-Corpus Christi (Southland),33,23-10,257,7.8
214,Abilene Christian (WAC),30,13-17,211,7
85,Air Force (Mountain West),32,14-18,261,8.2
28,Akron (MAC),33,22-11,300,9.1
231,Alabama A&M (SWAC),33,15-18,226,6.8
309,Alabama St. (SWAC),31,8-23,185,6
11,Alabama (SEC),34,29-5,342,10.1
338,Alcorn (SWAC),31,18-13,159,5.1
278,American (Patriot),32,17-15,204,6.4
155,App State (Sun Belt),32,16-16,243,7.6
167,Arizona St. (Pac-12),34,22-12,255,7.5
56,Arizona (Pac-12),34,28-6,292,8.6
114,Ark.-Pine Bluff (SWAC),31,10-21,245,7.9
282,Arkansas St. (Sun Belt),33,13-20,209,6.3
340,Arkansas (SEC),33,20-13,168,5.1
148,Army West Point (Patriot),33,17-16,252,7.6
273,Auburn (SEC),32,20-12,208,6.5
197,Austin Peay (ASUN),31,9-22,222,7.2
167,Ball St. (MAC),32,20-12,240,7.5
13,Baylor (Big 12),32,22-10,310,9.7
17,Belmont (MVC),32,21-11,307,9.6
233,Bethune-Cookman (SWAC),32,12-20,219,6.8
329,Binghamton (America East),31,13-18,172,5.5
119,Boise St. (Mountain West),33,24-9,259,7.8
325,Boston College (ACC),33,16-17,188,5.7
173,Boston U. (Patriot),32,15-17,238,7.4
192,Bowling Green (MAC),31,11-20,224,7.2
104,Bradley (MVC),34,25-9,271,8
100,Brown (Ivy League),27,14-13,216,8
92,Bryant (America East),30,17-13,243,8.1
183,Bucknell (Patriot),32,12-20,235,7.3
216,Buffalo (MAC),32,15-17,224,7
274,Butler (Big East),32,14-18,207,6.5
91,BYU (WCC),34,19-15,276,8.1
330,Cal Poly (Big West),33,8-25,181,5.5
139,Cal St. Fullerton (Big West),33,20-13,253,7.7
68,California Baptist (WAC),33,17-16,276,8.4
345,California (Pac-12),32,3-29,156,4.9
251,Campbell (Big South),34,16-18,228,6.7
61,Canisius (MAAC),30,10-20,255,8.5
59,Central Ark. (ASUN),31,9-22,264,8.5
233,Central Conn. St. (NEC),32,10-22,219,6.8
297,Central Mich. (MAC),31,10-21,191,6.2
93,Charleston So. (Big South),31,10-21,251,8.1
100,Charlotte (C-USA),32,18-14,256,8
1,Chattanooga (SoCon),35,18-17,398,11.4
79,Chicago St. (DI Independent),31,11-20,256,8.3
31,Cincinnati (AAC),33,21-12,298,9
68,Clemson (ACC),33,23-10,276,8.4
339,Cleveland St. (Horizon),34,21-13,174,5.1
194,Coastal Carolina (Sun Belt),31,11-20,223,7.2
10,Col. of Charleston (CAA),34,31-3,343,10.1
72,Colgate (Patriot),34,26-8,283,8.3
152,Colorado St. (Mountain West),33,15-18,251,7.6
272,Colorado (Pac-12),33,17-16,215,6.5
123,Columbia (Ivy League),29,7-22,226,7.8
66,Coppin St. (MEAC),32,9-23,268,8.4
3,Cornell (Ivy League),28,17-11,300,10.7
39,Creighton (Big East),33,21-12,294,8.9
351,CSU Bakersfield (Big West),33,11-22,142,4.3
319,CSUN (Big West),32,7-25,184,5.8
88,Dartmouth (Ivy League),28,10-18,228,8.1
248,Davidson (Atlantic 10),32,16-16,216,6.8
261,Dayton (Atlantic 10),34,22-12,225,6.6
324,Delaware St. (MEAC),30,6-24,171,5.7
262,Delaware (CAA),33,17-16,218,6.6
348,Denver (Summit League),32,15-17,144,4.5
76,DePaul (Big East),33,10-23,273,8.3
8,Detroit Mercy (Horizon),33,14-19,338,10.2
104,Drake (MVC),34,27-7,271,8
198,Drexel (CAA),32,17-15,229,7.2
230,Duke (ACC),34,26-8,233,6.9
32,Duquesne (Atlantic 10),32,20-12,288,9
163,East Carolina (AAC),33,16-17,249,7.5
336,Eastern Ill. (OVC),31,9-22,162,5.2
57,Eastern Ky. (ASUN),33,20-13,283,8.6
292,Eastern Mich. (MAC),31,8-23,192,6.2
45,Eastern Wash. (Big Sky),32,22-10,282,8.8
241,Elon (CAA),32,8-24,218,6.8
280,ETSU (SoCon),32,12-20,203,6.3
290,Evansville (MVC),32,5-27,199,6.2
320,Fairfield (MAAC),31,13-18,178,5.7
95,FDU (NEC),34,19-15,275,8.1
24,FGCU (ASUN),32,17-15,295,9.2
233,FIU (C-USA),32,14-18,219,6.8
12,Fla. Atlantic (C-USA),34,31-3,332,9.8
318,Florida A&M (SWAC),29,7-22,167,5.8
269,Florida St. (ACC),32,9-23,209,6.5
248,Florida (SEC),32,16-16,216,6.8
148,Fordham (Atlantic 10),33,25-8,252,7.6
247,Fresno St. (Mountain West),31,11-20,210,6.8
19,Furman (SoCon),34,27-7,324,9.5
286,Ga. Southern (Sun Belt),33,17-16,207,6.3
283,Gardner-Webb (Big South),31,15-16,196,6.3
186,George Mason (Atlantic 10),33,20-13,240,7.3
202,George Washington (Atlantic 10),32,16-16,228,7.1
317,Georgetown (Big East),32,7-25,185,5.8
333,Georgia St. (Sun Belt),31,10-21,164,5.3
119,Georgia Tech (ACC),33,15-18,259,7.8
250,Georgia (SEC),32,16-16,215,6.7
128,Gonzaga (WCC),33,28-5,256,7.8
335,Grambling (SWAC),33,24-9,174,5.3
35,Grand Canyon (WAC),35,24-11,314,9
241,Green Bay (Horizon),32,3-29,218,6.8
202,Hampton (CAA),32,8-24,228,7.1
181,Hartford (DI Independent),28,5-23,206,7.4
266,Harvard (Ivy League),28,14-14,184,6.6
254,Hawaii (Big West),33,22-11,220,6.7
161,High Point (Big South),31,14-17,234,7.5
50,Hofstra (CAA),33,24-9,286,8.7
233,Holy Cross (Patriot),32,10-22,219,6.8
73,Houston Christian (Southland),32,10-22,265,8.3
127,Houston (AAC),34,31-3,264,7.8
100,Howard (MEAC),34,22-12,272,8
142,Idaho St. (Big Sky),32,11-21,245,7.7
245,Idaho (Big Sky),32,10-22,217,6.8
188,Illinois St. (MVC),32,11-21,232,7.2
142,Illinois (Big Ten),32,20-12,245,7.7
20,Indiana St. (MVC),34,22-12,322,9.5
326,Indiana (Big Ten),33,22-11,187,5.7
213,Iona (MAAC),34,27-7,240,7.1
269,Iowa St. (Big 12),32,19-13,209,6.5
97,Iowa (Big Ten),32,19-13,258,8.1
347,IUPUI (Horizon),32,5-27,146,4.6
286,Jackson St. (SWAC),33,14-19,207,6.3
29,Jacksonville St. (ASUN),31,13-18,281,9.1
227,Jacksonville (ASUN),29,13-16,200,6.9
106,James Madison (Sun Belt),33,22-11,263,8
313,Kansas City (Summit League),32,11-21,188,5.9
202,Kansas St. (Big 12),32,23-9,228,7.1
218,Kansas (Big 12),34,27-7,237,7
78,Kennesaw St. (ASUN),34,26-8,281,8.3
115,Kent St. (MAC),34,28-6,268,7.9
278,Kentucky (SEC),32,21-11,204,6.4
185,La Salle (Atlantic 10),34,15-19,248,7.3
49,Lafayette (Patriot),34,11-23,298,8.8
320,Lamar University (Southland),31,9-22,178,5.7
237,Lehigh (Patriot),30,16-14,205,6.8
4,Liberty (ASUN),34,26-8,358,10.5
98,Lipscomb (ASUN),33,20-13,266,8.1
309,Little Rock (OVC),31,10-21,185,6
344,LIU (NEC),29,3-26,142,4.9
23,LMU (CA) (WCC),31,19-12,289,9.3
349,Long Beach St. (Big West),33,17-16,146,4.4
166,Longwood (Big South),32,20-12,241,7.5
60,Louisiana Tech (C-USA),33,15-18,281,8.5
211,Louisiana (Sun Belt),33,26-7,233,7.1
289,Louisville (ACC),32,4-28,200,6.2
207,Loyola Chicago (Atlantic 10),31,10-21,220,7.1
158,Loyola Maryland (Patriot),33,13-20,250,7.6
191,LSU (SEC),33,14-19,239,7.2
264,Maine (America East),30,13-17,198,6.6
237,Manhattan (MAAC),30,12-18,205,6.8
139,Marist (MAAC),33,13-20,253,7.7
42,Marquette (Big East),34,28-6,301,8.9
80,Marshall (Sun Belt),32,24-8,264,8.2
231,Maryland (Big Ten),33,21-12,226,6.8
314,Massachusetts (Atlantic 10),31,15-16,182,5.9
157,McNeese (Southland),34,11-23,258,7.6
300,Memphis (AAC),34,26-8,209,6.1
311,Mercer (SoCon),33,14-19,196,5.9
155,Miami (FL) (ACC),32,25-7,243,7.6
122,Miami (OH) (MAC),32,12-20,250,7.8
171,Michigan St. (Big Ten),31,19-12,232,7.5
142,Michigan (Big Ten),32,17-15,245,7.7
225,Middle Tenn. (C-USA),33,19-14,228,6.9
100,Milwaukee (Horizon),32,21-11,256,8
292,Minnesota (Big Ten),31,9-22,192,6.2
337,Mississippi St. (SEC),33,21-12,172,5.2
341,Mississippi Val. (SWAC),32,5-27,162,5.1
111,Missouri St. (MVC),32,17-15,254,7.9
22,Missouri (SEC),33,24-9,309,9.4
352,Monmouth (CAA),33,7-26,134,4.1
296,Montana St. (Big Sky),34,25-9,210,6.2
117,Montana (Big Sky),31,17-14,244,7.9
176,Morehead St. (OVC),32,21-11,236,7.4
259,Morgan St. (MEAC),31,15-16,206,6.6
254,Mount St. Mary's (MAAC),33,13-20,220,6.7
298,Murray St. (MVC),32,17-15,197,6.2
85,N.C. A&T (CAA),32,13-19,261,8.2
179,N.C. Central (MEAC),30,18-12,221,7.4
133,Navy (Patriot),31,18-13,240,7.7
64,NC State (ACC),33,23-10,278,8.4
252,Nebraska (Big Ten),32,16-16,214,6.7
208,Nevada (Mountain West),32,22-10,227,7.1
77,New Hampshire (America East),30,15-15,248,8.3
165,New Mexico St. (WAC),24,9-15,181,7.5
322,New Mexico (Mountain West),33,22-11,189,5.7
303,New Orleans (Southland),32,12-20,196,6.1
283,Niagara (MAAC),31,16-15,196,6.3
138,Nicholls (Southland),31,16-15,238,7.7
176,NIU (MAC),32,13-19,236,7.4
268,NJIT (America East),30,7-23,196,6.5
240,Norfolk St. (MEAC),33,22-11,225,6.8
142,North Ala. (ASUN),32,18-14,245,7.7
209,North Carolina (ACC),33,20-13,234,7.1
169,North Dakota St. (Summit League),33,16-17,247,7.5
25,North Dakota (Summit League),33,13-20,304,9.2
5,North Florida (ASUN),31,14-17,323,10.4
193,North Texas (C-USA),33,26-7,238,7.2
214,Northeastern (CAA),30,10-20,211,7
63,Northern Ariz. (Big Sky),35,12-23,295,8.4
73,Northern Colo. (Big Sky),32,12-20,265,8.3
83,Northern Ky. (Horizon),34,22-12,278,8.2
64,Northwestern St. (Southland),33,22-11,278,8.4
142,Northwestern (Big Ten),32,21-11,245,7.7
45,Notre Dame (ACC),32,11-21,282,8.8
188,Oakland (Horizon),32,13-19,232,7.2
239,Ohio St. (Big Ten),35,16-19,239,6.8
38,Ohio (MAC),33,19-14,295,8.9
225,Oklahoma St. (Big 12),33,18-15,228,6.9
216,Oklahoma (Big 12),32,15-17,224,7
333,Old Dominion (Sun Belt),31,19-12,164,5.3
299,Ole Miss (SEC),33,12-21,203,6.2
323,Omaha (Summit League),32,9-23,183,5.7
2,Oral Roberts (Summit League),34,30-4,367,10.8
306,Oregon St. (Pac-12),32,11-21,192,6
211,Oregon (Pac-12),33,19-14,233,7.1
32,Pacific (WCC),33,15-18,297,9
6,Penn St. (Big Ten),35,22-13,364,10.4
89,Penn (Ivy League),30,17-13,244,8.1
84,Pepperdine (WCC),31,9-22,253,8.2
25,Pittsburgh (ACC),33,22-11,304,9.2
161,Portland St. (Big Sky),31,12-19,234,7.5
16,Portland (WCC),33,14-19,317,9.6
307,Prairie View (SWAC),32,13-19,191,6
307,Presbyterian (Big South),32,5-27,191,6
58,Princeton (Ivy League),29,21-8,247,8.5
257,Providence (Big East),32,21-11,213,6.7
15,Purdue Fort Wayne (Horizon),32,17-15,308,9.6
228,Purdue (Big Ten),34,29-5,234,6.9
81,Quinnipiac (MAAC),32,20-12,263,8.2
254,Radford (Big South),33,19-14,220,6.7
332,Rhode Island (Atlantic 10),31,9-22,168,5.4
36,Rice (C-USA),33,18-15,296,9
113,Richmond (Atlantic 10),33,15-18,261,7.9
342,Rider (MAAC),30,16-14,150,5
206,Robert Morris (Horizon),33,16-17,235,7.1
326,Rutgers (Big Ten),33,19-14,187,5.7
245,Sacramento St. (Big Sky),32,14-18,217,6.8
222,Sacred Heart (NEC),33,16-17,229,6.9
133,Saint Francis (PA) (NEC),31,13-18,240,7.7
47,Saint Joseph's (Atlantic 10),33,16-17,290,8.8
219,Saint Louis (Atlantic 10),33,21-12,230,7
128,Saint Mary's (CA) (WCC),33,26-7,256,7.8
312,Saint Peter's (MAAC),32,14-18,190,5.9
73,Sam Houston (WAC),32,25-7,265,8.3
30,Samford (SoCon),32,21-11,290,9.1
196,San Diego St. (Mountain West),33,27-6,237,7.2
117,San Diego (WCC),31,11-20,244,7.9
7,San Francisco (WCC),34,20-14,349,10.3
152,San Jose St. (Mountain West),33,20-13,251,7.6
66,Santa Clara (WCC),32,23-9,268,8.4
55,Seattle U (WAC),32,20-12,275,8.6
316,Seton Hall (Big East),32,17-15,186,5.8
280,SFA (WAC),32,19-13,203,6.3
257,Siena (MAAC),32,17-15,213,6.7
199,SIUE (OVC),33,19-14,236,7.2
285,SMU (AAC),32,10-22,201,6.3
154,South Alabama (Sun Belt),35,19-16,266,7.6
229,South Carolina St. (MEAC),31,5-26,213,6.9
150,South Carolina (SEC),32,11-21,244,7.6
137,South Dakota St. (Summit League),32,19-13,246,7.7
41,South Dakota (Summit League),31,12-19,275,8.9
176,South Fla. (AAC),32,14-18,236,7.4
110,Southeast Mo. St. (OVC),35,19-16,278,7.9
132,Southeastern La. (Southland),32,18-14,248,7.8
274,Southern California (Pac-12),32,22-10,207,6.5
119,Southern Ill. (MVC),33,23-10,259,7.8
223,Southern Miss. (Sun Belt),32,25-7,222,6.9
150,Southern U. (SWAC),32,15-17,244,7.6
87,Southern Utah (WAC),34,22-12,277,8.1
210,St. Bonaventure (Atlantic 10),32,14-18,226,7.1
244,St. Francis Brooklyn (NEC),30,14-16,204,6.8
315,St. John's (NY) (Big East),33,18-15,193,5.8
94,Stanford (Pac-12),33,14-19,267,8.1
9,Stetson (ASUN),30,17-13,303,10.1
128,Stony Brook (CAA),33,11-22,256,7.8
294,Syracuse (ACC),32,17-15,198,6.2
331,TCU (Big 12),33,21-12,180,5.5
108,Temple (AAC),32,16-16,255,8
48,Tennessee St. (OVC),32,18-14,281,8.8
27,Tennessee Tech (OVC),33,16-17,302,9.2
124,Tennessee (SEC),33,23-10,257,7.8
304,Texas A&M (SEC),34,25-9,207,6.1
346,Texas Southern (SWAC),34,14-20,162,4.8
350,Texas St. (Sun Belt),35,16-19,154,4.4
195,Texas Tech (Big 12),32,16-16,230,7.2
200,Texas (Big 12),34,26-8,243,7.1
202,The Citadel (SoCon),32,10-22,228,7.1
52,Toledo (MAC),34,27-7,294,8.6
180,Towson (CAA),33,21-12,243,7.4
135,Troy (Sun Belt),33,20-13,255,7.7
126,Tulane (AAC),31,20-11,241,7.8
139,Tulsa (AAC),30,5-25,230,7.7
182,UAB (C-USA),34,25-9,250,7.4
147,UAlbany (America East),31,8-23,237,7.6
252,UC Davis (Big West),32,18-14,214,6.7
200,UC Irvine (Big West),34,23-11,243,7.1
70,UC Riverside (Big West),34,22-12,284,8.4
328,UC Santa Barbara (Big West),34,27-7,190,5.6
40,UCF (AAC),32,18-14,284,8.9
300,UCLA (Pac-12),34,29-5,209,6.1
32,UConn (Big East),33,25-8,297,9
108,UIC (MVC),32,12-20,255,8
288,UIW (Southland),31,12-19,194,6.3
159,ULM (Sun Belt),32,11-21,242,7.6
221,UMass Lowell (America East),34,26-8,236,6.9
99,UMBC (America East),32,18-14,257,8
175,UMES (MEAC),31,18-13,229,7.4
115,UNC Asheville (Big South),34,27-7,268,7.9
111,UNC Greensboro (SoCon),32,20-12,254,7.9
300,UNCW (CAA),34,24-10,209,6.1
173,UNI (MVC),32,14-18,238,7.4
82,UNLV (Mountain West),32,19-13,262,8.2
265,USC Upstate (Big South),31,16-15,204,6.6
274,UT Arlington (WAC),32,11-21,207,6.5
135,UT Martin (OVC),33,19-14,255,7.7
21,Utah St. (Mountain West),34,26-8,321,9.4
267,Utah Valley (WAC),33,25-8,216,6.5
188,Utah (Pac-12),32,17-15,232,7.2
343,UTEP (C-USA),32,14-18,158,4.9
223,UTRGV (WAC),32,15-17,222,6.9
183,UTSA (C-USA),32,10-22,235,7.3
294,Valparaiso (MVC),32,11-21,198,6.2
61,Vanderbilt (SEC),34,20-14,289,8.5
304,VCU (Atlantic 10),34,27-7,207,6.1
54,Vermont (America East),33,23-10,284,8.6
43,Villanova (Big East),33,17-16,292,8.8
71,Virginia Tech (ACC),33,19-14,275,8.3
241,Virginia (ACC),32,25-7,218,6.8
14,VMI (SoCon),32,7-25,309,9.7
277,Wagner (NEC),28,15-13,181,6.5
18,Wake Forest (ACC),33,19-14,315,9.5
36,Washington St. (Pac-12),33,17-16,296,9
269,Washington (Pac-12),32,16-16,209,6.5
262,Weber St. (Big Sky),33,18-15,218,6.6
186,West Virginia (Big 12),33,19-14,240,7.3
50,Western Caro. (SoCon),33,18-15,286,8.7
220,Western Ill. (Summit League),30,16-14,209,7
163,Western Ky. (C-USA),33,17-16,249,7.5
96,Western Mich. (MAC),31,8-23,250,8.1
260,Wichita St. (AAC),32,17-15,212,6.6
128,William & Mary (CAA),33,13-20,256,7.8
44,Winthrop (Big South),32,15-17,283,8.8
90,Wisconsin (Big Ten),31,17-14,252,8.1
169,Wofford (SoCon),33,17-16,247,7.5
291,Wright St. (Horizon),33,18-15,205,6.2
53,Wyoming (Mountain West),31,9-22,268,8.6
160,Xavier (Big East),34,25-9,257,7.6
172,Yale (Ivy League),29,21-8,217,7.5
106,Youngstown St. (Horizon),33,24-9,263,8